week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,Timestamp,Date,ID Geography,Geography
2/24/2018,2/17/2018,04000US21,Kentucky,2225,24267,1869232,1.3,1.51945E+12,"February 24th, 2018",04000US21,Kentucky
2/24/2018,2/17/2018,04000US22,Louisiana,1893,17610,1874072,0.94,1.51945E+12,"February 24th, 2018",04000US22,Louisiana
2/24/2018,2/17/2018,04000US28,Mississippi,818,9251,1101351,0.84,1.51945E+12,"February 24th, 2018",04000US28,Mississippi
2/24/2018,2/17/2018,04000US44,Rhode Island,1944,12358,464069,2.66,1.51945E+12,"February 24th, 2018",04000US44,Rhode Island
2/17/2018,2/10/2018,04000US19,Iowa,2126,31740,1517606,2.09,1.51884E+12,"February 17th, 2018",04000US19,Iowa
2/17/2018,2/10/2018,04000US21,Kentucky,3327,23899,1869232,1.28,1.51884E+12,"February 17th, 2018",04000US21,Kentucky
2/17/2018,2/10/2018,04000US22,Louisiana,1801,17892,1874072,0.95,1.51884E+12,"February 17th, 2018",04000US22,Louisiana
2/17/2018,2/10/2018,04000US28,Mississippi,935,9644,1101351,0.88,1.51884E+12,"February 17th, 2018",04000US28,Mississippi
2/17/2018,2/10/2018,04000US44,Rhode Island,1011,12601,464069,2.72,1.51884E+12,"February 17th, 2018",04000US44,Rhode Island
2/10/2018,2/3/2018,04000US19,Iowa,2467,31459,1517606,2.07,1.51824E+12,"February 10th, 2018",04000US19,Iowa
2/10/2018,2/3/2018,04000US21,Kentucky,3467,25310,1869232,1.35,1.51824E+12,"February 10th, 2018",04000US21,Kentucky
2/10/2018,2/3/2018,04000US22,Louisiana,2160,18566,1874072,0.99,1.51824E+12,"February 10th, 2018",04000US22,Louisiana
2/10/2018,2/3/2018,04000US28,Mississippi,1195,9752,1101351,0.89,1.51824E+12,"February 10th, 2018",04000US28,Mississippi
2/10/2018,2/3/2018,04000US44,Rhode Island,916,12642,464069,2.72,1.51824E+12,"February 10th, 2018",04000US44,Rhode Island
2/3/2018,1/27/2018,04000US19,Iowa,2473,31518,1517606,2.08,1.51763E+12,"February 3rd, 2018",04000US19,Iowa
2/3/2018,1/27/2018,04000US21,Kentucky,3770,24637,1869232,1.32,1.51763E+12,"February 3rd, 2018",04000US21,Kentucky
2/3/2018,1/27/2018,04000US22,Louisiana,2291,19205,1874072,1.02,1.51763E+12,"February 3rd, 2018",04000US22,Louisiana
2/3/2018,1/27/2018,04000US28,Mississippi,1195,9991,1101351,0.91,1.51763E+12,"February 3rd, 2018",04000US28,Mississippi
2/3/2018,1/27/2018,04000US44,Rhode Island,1190,12779,464069,2.75,1.51763E+12,"February 3rd, 2018",04000US44,Rhode Island
1/27/2018,1/20/2018,04000US19,Iowa,2610,32097,1517606,2.11,1.51703E+12,"January 27th, 2018",04000US19,Iowa
1/27/2018,1/20/2018,04000US21,Kentucky,3156,24941,1869232,1.33,1.51703E+12,"January 27th, 2018",04000US21,Kentucky
